line_id,speaker,type,text
1,NARRATOR,scene_heading,INT. DELTA GAMMA HOUSE - DAY                                      
2,NARRATOR,scene_description,"flock of abstract, silky, golden strands -- PULLING BACK, to discover that the strands are hair on a BLONDE GIRL's head. But not just any blonde girl, a girl in Delta Gamma, the blondest, most beautiful sorority at USC. We PULL BACK further to see that she's signing a handmade card. She holds it up ~ OVER HER SHOULDER, we see hearts and glitter surrounding and ""Good Luck Tonight!"" and ""Elle and Warner forever!."" She carries the card out of her room and we FOLLOW HER across the hall, into the room of -- THREE BLONDE CHEERLEADERS, who stop practicing their pom-pom routine to sign the card. As they finish, we follow the Card Girl out and into the room of -- A BLONDE GIRL IN A TANK TOP and shorts, working out on a Stairmaster as ""General Hospital"" plays on a tiny TV. She signs the card while continuing to exercise. We move on, to the room of-- A BLONDE GIRL MAKING OUT WITH HER BOYFRIEND who stops long enough to sign the card, as her boyfriend nibbles on her neck. She hands the card back and we head into the room of -- A BLONDE PARTY GIRL who pours a pink frozen margarita into a glass from the blender, then passes it down to ANOTHER BLONDE GIRL, assembly-line style. The card goes one way, being signed, as the drinks go the other. Once the card arrives back in the Card Girl's hands, we follow her out of the room and down the hall until she reaches the very last and biggest door -- She puts a kiss mark on the card, then kneels down and slides the card under the door."
32,NARRATOR,scene_heading,INT. ELLE'S DELTA GAMMA ROOM - DAY - CONTINUOUS                   
33,NARRATOR,scene_description,"The CARD slides into the pink room, hitting the feet of UNDERDOG, a tiny chihuahua ~ who picks it up in his mouth and trots it over to a pair of perfectly pedicured feet in strappy sandals. An equally perfectly manicured hand with a ""Sisters Forever"" charm bracelet dangling from the wrist, scoops up Underdog."
41,NARRATOR,scene_description,"As he rises, we RISE WITH HIM, passing toned, waxed, tanned legs in pink Prada pedal pushers and a pair of perky boobs encased in a spaghetti-strap top -- until we finally reveal a magnificent head of long blonde hair and a sweet, beautiful face. This is ELLE WOODS, 21, the Goddess Queen of Delta Gamma. She talks on a pink, fuzzy phone."
47,NARRATOR,stage_direction,(into the phone)
48,ELLE,dialogue,"I love you, too!"
49,ELLE,scene_description,"Behind her, a ""Go USC"" banner is pinned to the pink wall. A stack of ""Cosmopolitan""s and ""Glamour""s teeters on the dresser. The closet overflows with trendy, designer clothes in a predominance of pink."
53,ELLE,stage_direction,(continuing; into phone)
54,ELLE,dialogue,I'll see you tonight.
